fact_id,date,location_id,aqi_value,aqi_category,pm25,pm10,no2,so2,co,o3,temperature_c,humidity_pct,wind_speed_kmph,ed_visits_respiratory,hospital_admissions_respiratory,outpatient_visits_respiratory,mortality_count_respiratory,prescriptions_issued,exceedance_flag,,
3833,28/06/2024,4,55.5,Moderate,32.1,51.1,13.1,3.6,1.36,25.4,32.2,79.2,,22,7,49,1,86,0,,
2762,23/07/2024,3,30.9,Good,19.9,36.2,9.2,1.9,0.51,37.8,33.8,80,11.7,28,8,63,1,96,0,,
2001,23/06/2025,2,61.7,Moderate,40,60.3,19.4,3,1.52,58.1,39.9,76.7,4.7,56,18,129,1,202,0,,
3382,04/04/2023,4,106.7,Unhealthy for Sensitive Groups,67.1,113.8,33.1,7.5,1.63,85.8,26.6,56.7,8.9,40,12,97,1,156,0,,
1803,07/12/2024,2,158.2,Unhealthy,107.5,195.3,43.5,15.1,2.39,51.3,19.5,29.6,5.8,127,38,282,2,450,1,,
135,15/05/2023,1,117.2,Unhealthy for Sensitive Groups,74.5,116.7,26.7,14.3,2.89,56.9,29,68.9,6.9,146,44,327,3,523,0,,
4378,25/12/2025,4,144.9,Unhealthy for Sensitive Groups,94.7,179,32.1,14.2,2.21,58.6,17.8,41.2,13.3,59,18,136,1,211,0,,
1421,21/11/2023,2,141.2,Unhealthy for Sensitive Groups,91.1,161.6,30.3,11.1,2.3,46.9,22.2,45.5,10,116,34,260,2,414,0,,
116,26/04/2023,1,162.2,Unhealthy,101.3,160.2,31.8,11.6,2.69,56.1,32.4,59.3,8.8,187,56,411,4,657,1,,
3424,16/05/2023,4,87.1,Moderate,55,86.8,9.5,5.1,1.51,45.5,36.7,73.4,10.8,34,9,75,1,122,0,,
2683,05/05/2024,3,76,Moderate,44.9,75.3,13.2,4.6,1.26,43.6,29.2,63.2,11.6,38,11,86,1,143,0,,
525,08/06/2024,1,126.5,Unhealthy for Sensitive Groups,80.3,127.7,29.5,5.2,2.92,68.4,32.7,72.4,,128,39,289,2,466,0,,
2139,08/11/2025,2,153.5,Unhealthy,95.1,159.2,39.9,8.2,3.11,58.4,24.1,38.4,10.9,108,33,242,2,385,1,,
2654,06/04/2024,3,73,Moderate,,89.9,17,7.4,1.45,61.9,25.3,64.3,11.3,43,13,101,1,160,0,,
2456,21/09/2023,3,76.1,moderate,43.9,77.6,16.2,6.9,1.22,54.2,24.8,65.5,10.6,30,9,74,1,112,0,,
3505,05/08/2023,4,39.8,Good,28.4,44.6,13.5,0,0.41,53.6,34.5,69.4,3.2,25,7,58,0,95,0,,
504,18/05/2024,1,96.8,Moderate,75.1,125,22.4,8.5,3.09,62.4,30.4,67.7,11.2,183,57,415,4,658,0,,
1122,26/01/2023,2,228.2,Very Unhealthy,139.8,262.3,50.7,22.3,3.77,59.5,22.9,43.1,10.9,134,41,299,,473,1,,
125,05/05/2023,1,164.4,Unhealthy,105.5,190.1,26.7,16,2.21,48.1,30.7,65.9,12.7,180,55,413,3,655,1,,
447,22/03/2024,1,268.6,Very Unhealthy,,318.6,57.5,17.9,3.41,65.6,20.9,47,12.9,288,88,650,6,1037,1,,
3863,28/07/2024,4,58.5,Moderate,30.2,53.3,7.1,3.7,0.81,52,35.4,62.1,9.6,25,7,52,0,92,0,,
2201,09/01/2023,3,130.5,Unhealthy for Sensitive Groups,85.7,139.7,34.6,7,1.44,57.8,19.1,28.4,12.8,63,19,132,1,215,0,,
3185,19/09/2025,3,64.3,Moderate,36.6,60.9,17.1,6.4,1.17,41.1,27.2,71.8,8.7,30,8,69,1,113,0,,
4207,07/07/2025,4,69.3,Moderate,30.3,51,5.9,2.6,0.53,37,35.2,71.2,7.9,23,7,54,0,86,0,,
1524,03/03/2024,2,173.4,Unhealthy,111.5,183.2,46.3,12.8,4.34,51.5,20.5,44.6,5.5,123,38,275,2,445,1,,
71,12/03/2023,1,220.3,Very Unhealthy,133.9,245.3,31.6,13.9,2.93,36.3,27.2,50.5,10.3,250,77,560,5,899,1,,
1715,10/09/2024,2,106.3,Unhealthy for Sensitive Groups,64.7,119.5,15.1,5.6,3.13,40,28.6,64.8,11.8,72,20,159,1,249,0,,
189,08/07/2023,1,83.6,Moderate,46.9,79.6,15.5,3.5,1.13,55.3,33.8,87.6,5.4,124,37,277,2,452,0,,
3217,21/10/2025,3,64.8,Moderate,45,72.6,13.5,4,1,38.3,22.6,56.6,10.6,41,12,94,1,147,0,,
2347,04/06/2023,3,37.4,Good,30.2,51.1,14.6,4.2,1.38,59.6,31.6,73,5.7,27,7,60,0,101,0,,
2380,07/07/2023,3,43.9,Good,22.8,39.4,9.3,2.5,0.37,48.1,30.7,88.2,12.8,26,7,62,0,99,0,,
1391,22/10/2023,2,137.8,Unhealthy for Sensitive Groups,80.1,132.2,22.3,8.7,2.35,39.7,22.7,52.7,10.3,89,28,204,2,323,0,,
928,16/07/2025,1,91.7,Moderate,62.4,94.9,16.5,10.9,1.65,57.8,32,76.6,12.5,118,35,269,2,423,0,,
388,23/01/2024,1,319.1,hazardous,199.7,315.4,69.2,21.4,5.1,78.3,17.3,28,18.7,267,81,602,,953,1,,
3306,18/01/2023,4,173,Unhealthy,111.2,182.9,47.2,13.5,3.39,59.1,18,23.3,8.7,55,16,123,1,194,1,,
3254,27/11/2025,3,90,Moderate,60.9,103.2,22,4.9,2.1,40.5,18.8,41.8,,46,14,107,1,172,0,,
3203,07/10/2025,3,60,Moderate,37.9,69.7,18.1,3.4,1.22,69.2,23.5,52.7,8.9,36,11,89,1,131,0,,
3733,20/03/2024,4,132.9,Unhealthy for Sensitive Groups,81.4,127.4,23.5,5.2,3.26,46.4,25.1,70.7,6.8,47,14,110,1,172,0,,
3144,09/08/2025,3,15.4,Good,21.1,37.5,6.8,3.6,0.78,45.5,29.7,77.6,0.5,26,8,61,0,89,0,,
685,15/11/2024,1,262.4,Very Unhealthy,157.3,283.8,58.4,16.9,4.97,53.9,16.4,33.2,11.5,286,87,634,6,1021,1,,
3900,03/09/2024,4,74.9,Moderate,48.7,74.8,20.7,5.3,1.49,44,31.5,65,9.7,30,7,66,1,105,0,,
4041,22/01/2025,4,198.1,Unhealthy,124.2,231.4,48,9.2,4.96,69.5,20.9,26.6,12.9,69,21,150,1,231,1,,
828,07/04/2025,1,227.4,Very Unhealthy,141,246.2,45.6,15.1,3.51,54.4,26.6,56.3,8.8,208,64,464,4,743,1,,
4140,01/05/2025,4,113.8,Unhealthy for Sensitive Groups,66.6,120.1,15.6,10.6,2.53,48.9,28.7,67.3,16.3,38,12,90,1,141,0,,
184,03/07/2023,1,92.1,Moderate,61.4,108.9,22.5,7.3,1.6,40.2,35.6,76.5,10.9,123,37,285,2,447,0,,
1855,28/01/2025,2,187.8,unhealthy,120.7,197.4,40.6,18.8,3.59,53.7,21.6,34.2,10.8,147,45,331,3,534,1,,
633,24/09/2024,1,158.9,Unhealthy,98.6,152.7,33.7,12.9,3.61,42.3,23.8,78.8,3.2,142,43,325,3,512,1,,
3219,23/10/2025,3,66.1,Moderate,46,79.6,20.9,6,1.76,56.8,18.8,39.8,11.9,45,14,103,1,167,0,,
673,03/11/2024,1,218.5,Very Unhealthy,140.2,248.1,47,16.7,4.17,64.7,22.7,41.9,10.8,192,59,435,,689,1,,
3031,18/04/2025,3,75.7,Moderate,41.8,69,20,5.6,1.24,37.4,28.9,64.1,4.3,42,12,93,1,153,0,,
2663,15/04/2024,3,235.6,Very Unhealthy,147.7,224.1,45,24.3,3.44,51,22.4,61.5,12.7,92,29,202,2,324,1,,
1759,24/10/2024,2,142.7,Unhealthy for Sensitive Groups,81.7,137.6,21.9,13.7,1.67,40.9,27.2,32.6,10.1,89,27,202,2,327,0,,
3939,12/10/2024,4,96.6,Moderate,62.9,102.5,14.6,9.8,2.44,42.9,24.4,42.3,13.3,38,12,86,1,135,0,,
3198,02/10/2025,3,81,Moderate,49.3,90.7,26.5,7.5,1.21,36.1,26.4,49.3,4.5,36,10,79,1,130,0,,
1532,11/03/2024,2,152.2,Unhealthy,89.7,137.8,32.5,12.9,2.8,41.3,25,42.8,,133,40,301,3,481,1,,
4357,04/12/2025,4,127.8,Unhealthy for Sensitive Groups,79.7,133.1,26.5,13.1,1.98,52.7,19.5,40.4,12.6,54,16,114,1,,0,,
963,20/08/2025,1,92.9,Moderate,65.4,121.6,17.9,10.8,2.4,42.1,29.8,77.8,7.3,136,43,318,3,503,0,,
2796,26/08/2024,3,48.9,Good,29.7,56.1,8.3,4.4,0.36,50,27.1,68.7,10.5,28,9,67,1,101,0,,
2348,05/06/2023,3,60.5,Moderate,29.3,54.4,14,4.1,0.89,3.8,33.7,79.1,6.1,27,8,68,0,101,0,,
3286,29/12/2025,3,96.9,Moderate,63.6,106.6,21.9,11.6,1.42,51.3,18.5,30.5,8.6,47,14,109,1,174,0,,
746,15/01/2025,1,352.7,Hazardous,219.7,357.7,94.9,17.8,4.7,53.5,19.6,28.8,9.2,295,91,665,6,1067,1,,
100,10/04/2023,1,187.6,Unhealthy,113.1,196.2,33.5,20.7,3.41,60.9,25.2,45.7,9.1,196,59,438,4,697,1,,
1109,13/01/2023,2,210.4,Very unhealthy ,135.5,209.7,50.5,14.7,3.4,44.7,20.7,24.7,7.6,114,34,256,2,405,1,,
3868,02/08/2024,4,65.9,Moderate,33.1,49.8,12.4,5.4,0.62,40.5,35.8,75.3,7.4,29,8,60,0,96,0,,
2054,15/08/2025,2,78.4,Moderate,38.1,69.6,7.8,4.9,1.65,43.6,33,64,9.2,56,16,130,1,207,0,,
2159,28/11/2025,2,176.8,Unhealthy,104.3,170.4,44.4,12.7,2.72,61.7,19.2,33.5,6.4,109,33,239,2,387,1,,
2282,31/03/2023,3,91.6,Moderate,47.8,90.3,13.1,6.6,1.69,61,28.7,42.6,20.3,49,14,115,1,188,0,,
2032,24/07/2025,2,64.6,MODERATE,35.3,55.4,9.2,3.2,1.08,27.8,37,75.4,8.3,52,16,123,1,193,0,,
182,01/07/2023,1,96.4,Moderate,57.1,85.7,30.5,7.1,1.69,63.2,33.3,80.7,7.9,114,34,257,2,410,0,,
1956,09/05/2025,2,98.3,Moderate,62.1,116.1,26.4,6.4,1.66,49.2,33,78.5,10,83,24,185,2,297,0,,
2878,16/11/2024,3,100.3,Unhealthy for Sensitive Groups,63.4,109.8,16.4,11.3,1.47,36.7,15.9,,7.5,48,15,109,1,172,0,,
201,20/07/2023,1,82.9,MODERATE,55.6,95.3,23.9,4.6,1.62,34.9,31.7,81.1,10.6,109,32,243,2,388,0,,
455,30/03/2024,1,232.5,Very Unhealthy,144,235.9,37.8,13.2,3.48,66.8,26.6,53.3,,253,77,573,5,917,1,,
150,30/05/2023,1,127.1,Unhealthy for Sensitive Groups,,124.9,25.1,11.7,2.17,26.7,34.2,63.7,13.4,138,42,308,3,498,0,,
3598,06/11/2023,4,115.9,Unhealthy for Sensitive Groups,72.3,114.3,23.2,10.3,1.69,50.8,24.9,44.6,13.5,48,16,111,1,182,0,,
3098,24/06/2025,3,25.3,Good,17,27.1,6.9,2.2,0.18,38.4,31.8,82.5,16.1,22,6,51,0,86,0,,
3588,27/10/2023,4,97.7,Moderate,65,104,31.3,9.6,2.41,56.5,24.6,44.8,7.8,43,13,100,1,163,0,,
1137,10/02/2023,2,168.9,Unhealthy,100.7,155.8,40.5,7.8,2.43,49.4,22,37.1,14.6,125,39,281,2,452,1,,
441,16/03/2024,1,243.8,Very Unhealthy,154.8,266.4,57.8,24.8,5.77,51.9,24.3,46.2,10.7,241,74,545,5,868,1,,
1107,11/01/2023,2,219.9,Very Unhealthy,137.4,228.4,52.3,12.3,4.87,67.4,14.3,28.3,7.7,119,36,271,2,433,1,,
2653,05/04/2024,3,85.8,Moderate,45.6,79.6,18.3,5.1,1.74,52.3,25.1,51.1,11.5,45,14,105,1,172,0,,
1442,12/12/2023,2,195.3,Unhealthy,123.4,227.7,44.7,17.8,2.71,43.2,20.2,23.8,2.4,109,34,246,2,392,1,,
433,08/03/2024,1,274.2,Very Unhealthy,163.2,296.5,68.5,19.7,5.35,73,16.9,42.5,1.9,289,89,646,6,1032,1,,
1768,02/11/2024,2,148.2,Unhealthy for Sensitive Groups,91.1,141.6,26.7,8.9,2.59,83.1,26,42.9,22.6,91,28,213,2,341,0,,
1590,08/05/2024,2,103.3,Unhealthy for Sensitive Groups,65.5,99.1,14.5,5.5,2.32,57,29.8,63.3,8.1,89,27,201,2,321,0,,
3718,05/03/2024,4,148.3,Unhealthy for Sensitive Groups,97.3,180.2,35.1,12.2,3.76,43.6,19.5,43.5,16.7,51,17,118,1,189,0,,
1437,07/12/2023,2,195.5,Unhealthy,115.2,194.2,48.3,18.3,3.49,43.6,19.5,40,6.5,132,40,295,3,471,1,,
1416,16/11/2023,2,114,Unhealthy for Sensitive Groups,79.7,123,30.5,8.7,2.01,48.2,25.9,42.2,10.4,113,35,258,2,411,0,,
2949,26/01/2025,3,100,Moderate,60.4,108.5,23.7,5.4,2.02,52.8,14.7,32.6,3.9,50,15,115,1,184,0,,
3140,05/08/2025,3,41.7,Good,24,39.9,11.6,1.8,0.73,16.3,29.4,77.5,5.8,29,8,68,1,97,0,,
2969,15/02/2025,3,99.5,Moderate,63.9,100.3,20.3,5.5,2.4,39.5,19.5,48.9,5.5,48,16,115,1,192,0,,
2070,31/08/2025,2,70.8,Moderate,47.5,86,15.5,4.3,0.99,44.3,35.6,70.3,11.7,65,20,150,1,241,0,,
2531,05/12/2023,3,71,Moderate,61.4,107.2,23.6,10.5,2.26,40.1,17,29,8.2,48,15,113,1,181,0,,
985,11/09/2025,1,154.1,Unhealthy,95.9,154,41.3,11.5,2.98,43.2,27.4,64.3,7.2,143,44,320,3,520,1,,
1950,03/05/2025,2,104.3,Unhealthy for Sensitive Groups,67.5,108.9,19.2,7.8,1.45,43.3,32.2,70.2,5.8,90,29,209,2,326,0,,
3732,19/03/2024,4,102.2,Unhealthy for Sensitive Groups,68.6,110.9,21.1,10.8,2.24,21.3,28.1,49.9,11.1,51,15,111,1,182,0,,
682,12/11/2024,1,281.5,Very Unhealthy,171.3,273.2,58,28.9,5.86,57.1,18.7,36.9,17.4,272,84,611,5,975,1,,
2642,25/03/2024,3,101.8,Unhealthy for Sensitive Groups,50.9,84.1,18.3,4.1,1.96,59.6,21.6,57.7,15.2,42,13,93,1,150,0,,
2146,15/11/2025,2,184.7,Unhealthy,119.6,189,42.7,18.8,3.46,52.4,22.9,49.5,10.2,101,32,239,2,374,1,,
1584,02/05/2024,2,100.7,Unhealthy for Sensitive Groups,66,113.4,24,5.1,1.52,35.9,30.1,69.8,9.6,71,21,162,1,258,0,,
3608,16/11/2023,4,153.5,Unhealthy,96,179.9,43.8,10.7,2.84,44.5,20.6,39.6,13.2,44,13,97,1,156,1,,
1041,06/11/2025,1,225.5,Very Unhealthy,146.2,248.7,62.3,14.3,3.22,60.7,19.9,44.5,11,250,77,560,5,903,1,,
2740,01/07/2024,3,27.5,Good,19.6,30.6,5.8,0,1.1,40.4,32.9,72.7,11.6,27,8,60,0,98,0,,
3035,22/04/2025,3,59.9,Moderate,41,66.2,14.7,10.3,0.79,42.5,29.4,58.8,7.4,40,14,93,1,152,0,,
4296,04/10/2025,4,80,Moderate,53.7,100,22.8,7.6,1.99,40.2,28.2,62.6,10.1,38,12,84,1,136,0,,
2770,31/07/2024,3,19,Good,22.3,35.9,2,3.7,1.2,41,29.6,73.3,9.9,23,6,56,1,86,0,,
1611,29/05/2024,2,93.5,Moderate,55.4,93.8,16.9,9.6,2.01,46.4,35.4,72.5,10.5,64,19,140,1,232,0,,
2644,27/03/2024,3,115.2,Unhealthy for Sensitive Groups,63,114.9,18.9,7.7,2.46,38.4,22.8,52.5,17.3,49,15,112,1,176,0,,
377,12/01/2024,1,305.9,Hazardous,186.1,295.2,50.9,26.6,4.51,62,14.8,21.5,12.3,333,102,747,7,1197,1,,
593,15/08/2024,1,124.5,Unhealthy for Sensitive Groups,78.4,133.2,23.6,13.2,2.31,43.6,27.3,71.2,9.9,140,41,323,3,511,0,,
2507,11/11/2023,3,108.5,Unhealthy for Sensitive Groups,65,99.1,27.3,4.2,2.43,72.6,21.1,50.7,8.8,49,16,114,1,,0,,
1523,02/03/2024,2,185.6,Unhealthy,129.3,219.1,48.5,17.6,4.52,63.9,25.7,28.3,11.5,123,36,278,2,443,1,,
4341,18/11/2025,4,124.8,Unhealthy for Sensitive Groups,83.3,134.2,35,11.5,1.75,52.6,23.1,48,8.3,50,15,113,1,178,0,,
3546,15/09/2023,4,70.6,Moderate,45,84.2,14.5,5.8,1.82,25,26.4,60.2,5.6,33,10,70,1,114,0,,
3813,08/06/2024,4,54.5,Moderate,34.1,57.7,20.4,5.5,1.21,27.1,33.5,69.1,11.5,30,9,65,0,104,0,,
2624,07/03/2024,3,108.4,Unhealthy for Sensitive Groups,60.4,114.7,16.8,5.8,1.11,40.6,20.8,42.4,14.2,50,15,118,1,178,0,,
2590,02/02/2024,3,107,Unhealthy for Sensitive Groups,66.1,112.3,20.2,8.6,2.32,54.5,15.1,23.3,13.2,58,17,125,1,202,0,,
370,05/01/2024,1,328.6,Hazardous,204.8,386,71.5,20.8,8.03,72.4,16.5,31.5,7.7,288,88,646,6,1033,1,,
4361,08/12/2025,4,159.1,Unhealthy,96.1,147.4,34.6,18.6,2.87,63.3,19.2,21.5,2.8,47,14,102,1,167,1,,
284,11/10/2023,1,186.3,Unhealthy,120.5,219.1,44.9,14.4,3.26,54,20.1,58.4,14.8,201,62,458,4,738,1,,
872,21/05/2025,1,133.8,Unhealthy for Sensitive Groups,82,144.4,21.2,10.8,2.46,56.7,31.6,67.8,9.5,159,49,367,3,584,0,,
2291,09/04/2023,3,76.1,Moderate,47.9,89.3,14.8,3.6,1.71,43.3,24.2,51.4,7.8,45,13,105,1,167,0,,
2578,21/01/2024,3,103.8,Unhealthy for Sensitive Groups,72.6,128.9,29.3,10.6,1.9,49.7,17.6,37.6,10.3,55,16,123,1,209,0,,
4203,03/07/2025,4,47.2,Good,,53.6,9.4,1.8,0.82,51.7,36.3,82.4,6.6,26,8,55,,93,0,,
3231,04/11/2025,3,80.3,Moderate,50.5,77.9,9.8,6.1,1.63,29.9,16.3,47.9,11.4,41,12,88,1,146,0,,
315,11/11/2023,1,253.2,Very Unhealthy,162.9,303.8,52.1,21.5,3.6,78.1,19.4,43.8,14.3,258,78,579,5,921,1,,
1539,18/03/2024,2,169.2,Unhealthy,102.7,193.8,29.8,9.6,3.86,61.7,26.3,49.8,6.9,101,31,227,2,363,1,,
1919,02/04/2025,2,148.1,Unhealthy for Sensitive Groups,94.9,160.4,33.2,17.1,3.29,67.4,27.1,54.9,9.7,104,31,237,2,370,0,,
4107,29/03/2025,4,108.4,Unhealthy for Sensitive Groups,70.3,114.5,23.4,11.8,2.28,42.4,28.1,54.9,10.5,47,14,105,1,167,0,,
3319,31/01/2023,4,161.1,Unhealthy,108.6,186.3,33.8,19.4,3.56,65.4,20.6,39.2,9.6,64,19,143,1,228,1,,
3967,09/11/2024,4,156.2,Unhealthy,,161.7,32.2,12.6,2.75,60.1,19.8,50.6,3.2,49,16,114,1,179,1,,
1181,26/03/2023,2,156, Unhealthy,100.4,182.1,37.2,19.3,2.15,32.9,29.8,50.9,8.3,119,36,266,2,427,1,,
1990,12/06/2025,2,60.2,Moderate,36.6,69.2,17.5,3.7,0.99,50,37.4,85.4,3.5,59,19,134,1,213,0,,
376,11/01/2024,1,368.9,Hazardous,234.1,394.2,91.2,35.1,9.4,72.9,18.6,34.8,11.5,336,104,750,7,1194,1,,
3669,16/01/2024,4,151.3,Unhealthy,90.1,165.4,45.6,15.4,2.59,66,17.1,26.6,10.7,53,16,119,1,194,1,,
884,02/06/2025,1,116.9,Unhealthy For Sensitive Groups ,70.6,120.6,24.3,9.3,2.46,62.9,33.9,,8.7,153,47,353,3,556,0,,
692,22/11/2024,1,273.5,Very Unhealthy,167.5,291.5,65.8,16.4,4.14,71.9,18,32,14.8,268,81,601,5,958,1,,
1464,03/01/2024,2,203.5,Very Unhealthy,128.4,194.8,46.6,16.6,3.32,53,22.6,32.3,13.6,122,38,276,2,448,1,,
1282,05/07/2023,2,38.5,Good,28,52.8,13.1,1.6,0.48,46.7,36.8,85,3,55,16,125,1,199,0,,
1698,24/08/2024,2,70,Moderate,45.4,81.5,14.1,8.2,1.89,56.1,28.7,73.2,12.2,67,19,153,1,240,0,,
899,17/06/2025,1,121.2,Unhealthy for Sensitive Groups,72.2,108.9,20.4,4.1,1.98,64.4,32.6,74.1,12,146,45,329,3,525,0,,
318,14/11/2023,1,230.2,Very Unhealthy,142.8,225.8,50.6,19.4,5.34,41.8,17.7,28,10.8,271,84,606,5,972,1,,
3758,14/04/2024,4,119.6,Unhealthy for Sensitive Groups,73.2,110.3,21.2,12.6,2.23,50.7,29.4,,,39,11,86,1,145,0,,
3294,06/01/2023,4,127.3,Unhealthy for Sensitive Groups,74,118,29.7,6.5,1.41,51.8,18,24.9,12.7,57,18,133,1,209,0,,
4330,07/11/2025,4,130.8,Unhealthy for Sensitive Groups,78.5,139.1,36,12.1,1.76,49.2,22.5,37.1,10.5,46,14,104,1,163,0,,
2017,09/07/2025,2,62,Moderate,31.4,56,9.1,2.6,1.07,49.5,35.5,80.5,8.8,52,16,116,1,192,0,,
547,30/06/2024,1,93.7,Moderate,60.3,111.6,26.3,8.1,1.31,35.6,31.3,71,10.8,115,34,266,2,426,0,,
2268,17/03/2023,3,101.5,Unhealthy for Sensitive Groups,67.9,113.7,22.7,9.6,1.77,68.1,23.9,40.3,6,48,14,104,1,168,0,,
4179,09/06/2025,4,52.1,Moderate,36.2,54.7,14.4,5.2,0.82,33.3,35.1,66.4,11.3,29,9,70,1,102,0,,
1159,04/03/2023,2,183.7,Unhealthy,113.3,179.4,35.7,10.6,2.68,58.2,22.7,27,13.4,132,40,296,2,468,1,,
3704,20/02/2024,4,165.3,Unhealthy,105.9,198.7,45.6,20.8,4.15,65.8,19.9,,7.8,53,16,118,1,195,1,,
3049,06/05/2025,3,60,Moderate,42.1,69.6,18.2,7,1.49,32.5,26.1,78.2,11.9,39,11,86,1,135,0,,
126,06/05/2023,1,149,Unhealthy for Sensitive Groups,99.8,182.4,31.5,8.3,2.7,65.8,33.1,62.5,8.6,179,55,410,3,651,0,,
3010,28/03/2025,3,101.5,Unhealthy for Sensitive Groups,55.7,100.4,18.6,6.3,2.3,31.8,25.8,54.6,9.9,46,12,95,1,161,0,,
1431,01/12/2023,2,177.3,Unhealthy,104,186.8,42.3,18.9,3.58,46.5,21.3,38.2,4.1,120,38,268,2,435,1,,
1398,29/10/2023,2,133.8,Unhealthy for Sensitive Groups,86.2,136,37,15.1,1.92,63.8,21.9,49.7,13.5,92,28,211,2,335,0,,
4345,22/11/2025,4,146.8,Unhealthy for Sensitive Groups,92,148.7,34.6,17.5,1.92,50,22.3,34.6,11.1,53,16,118,1,192,0,,
3238,11/11/2025,3,79.7,Moderate,55.7,88.4,13,10.3,1.45,61.2,19.1,36.4,7.4,39,12,84,1,139,0,,
3289,01/01/2023,4,189.3,Unhealthy,109.3,178.8,44.5,12.5,4.45,59.6,21.7,35.3,12.8,62,19,141,1,219,1,,
3398,20/04/2023,4,97.1,Moderate,65.5,119.2,14.1,7.1,1.21,50,31.5,63.9,8,40,12,91,1,145,0,,
1963,16/05/2025,2,97.2,Moderate,59.2,107.5,19.9,8.5,1.94,27.4,32.7,72,5.8,69,22,160,1,257,0,,
508,22/05/2024,1,136.4,Unhealthy for Sensitive Groups,88.2,158,29.5,9.7,3.22,56,29.9,73.6,10.7,119,38,278,,440,0,,
1382,13/10/2023,2,116.6,Unhealthy for Sensitive Groups,69,124.5,20.3,11.4,1.96,44.8,22.3,56.5,16.4,85,26,191,2,308,0,,
245,02/09/2023,1,143.6,Unhealthy for Sensitive Groups,90.7,159.8,32.9,9.2,2.86,51.8,29,66.3,9.1,136,42,308,,495,0,,
1962,15/05/2025,2,114.1,Unhealthy for Sensitive Groups,64,116.4,25.5,11.4,1.84,37.9,36,72.1,12.3,73,22,166,1,265,0,,
3951,24/10/2024,4,120.2,Unhealthy For Sensitive Groups ,75.7,125.7,20.1,12.1,1.88,40.8,21.3,56.8,12.4,41,12,89,1,151,0,,
2481,16/10/2023,3,94.9,Moderate,48.7,86.9,14.6,7.1,1.86,45.9,24,59.5,7.7,39,12,90,1,143,0,,
301,28/10/2023,1,233.1,Very Unhealthy,158.2,239.6,68.9,17.7,3.55,51.2,20,41.8,10.7,217,67,492,4,782,1,,
1865,07/02/2025,2,145,Unhealthy for Sensitive Groups,98.4,166.3,26.2,12.5,3.92,64.9,21.7,39.3,9.2,133,41,301,3,,0,,
1772,06/11/2024,2,149.7,Unhealthy for Sensitive Groups,89.2,143.3,27.2,8.3,2.66,54.6,24.1,44.8,5.5,94,29,206,,337,0,,
1741,06/10/2024,2,118.4,Unhealthy for Sensitive Groups,78,136.4,29.2,6.7,2.16,28.5,27.5,,12.8,78,24,173,1,276,0,,
1540,19/03/2024,2,165.3,Unhealthy,103.2,186.4,48.6,18.4,2.81,49,26.5,39.3,11.4,99,30,225,2,353,1,,
3716,03/03/2024,4,136.3,Unhealthy for Sensitive Groups,88.7,161.2,38.9,12.4,2.82,43.4,22.5,39.5,18.6,52,17,123,1,196,0,,
2798,28/08/2024,3,59.3,Moderate,27.3,51.6,8.7,2.4,1.07,46.4,29.4,68.1,11.9,31,9,76,1,118,0,,
2853,22/10/2024,3,75.6,Moderate,51.6,79.6,14.2,5.7,1.75,72.9,16.9,46.1,7.1,40,12,86,1,147,0,,
2595,07/02/2024,3,124.1,Unhealthy for Sensitive Groups,74.1,130.6,33.8,8.8,2.31,63.2,18.1,34.4,11.5,53,16,119,1,191,0,,
1860,02/02/2025,2,177,Unhealthy,110.7,195.7,44.5,18.7,3.94,73.2,25.1,28.4,9.6,128,40,294,2,464,1,,
4097,19/03/2025,4,132.2,Unhealthy for Sensitive Groups,82.7,129.8,27.8,8.9,2.16,19.1,24,44.5,7,45,13,98,,157,0,,
3668,15/01/2024,4,165.6,Unhealthy,102.4,155.4,34.9,14.6,3.68,78.6,18.7,24.2,13.6,58,17,127,1,209,1,,
4285,23/09/2025,4,75,Moderate,47.5,84.5,11.9,5.6,1.19,49.3,26.3,62.8,6.8,34,10,76,1,122,0,,
3822,17/06/2024,4,63.7,Moderate,35.7,58.4,14.2,7,1.27,40.5,39.1,73.8,9.2,27,9,64,1,97,0,,
2228,05/02/2023,3,153.9,Unhealthy,93,149.9,26,10.3,3.56,57.4,17.4,31.5,9.2,64,19,139,1,226,1,,
2766,27/07/2024,3,35.2,Good,23.5,39.1,8.4,0,0.88,8.5,29.6,88.4,6.5,27,8,53,1,94,0,,
2374,01/07/2023,3,36.8,Good,25.8,47.5,10.7,3.5,0.38,27,30.1,77.8,11.8,24,8,62,0,94,0,,
397,01/02/2024,1,322.9,Hazardous,202.1,315,71.7,24.6,5.02,61.9,15.1,35.9,5.9,322,98,725,6,1152,1,,
929,17/07/2025,1,101.6,Unhealthy for Sensitive Groups,58.5,109.9,13.9,8.7,1.77,56.3,33.5,79.3,15.2,135,42,304,3,487,0,,
2723,14/06/2024,3,31,Good,21.7,36,7.4,2.7,0.63,16.8,32,77.7,1.8,28,8,62,1,100,0,,
282,09/10/2023,1,142.5,Unhealthy for Sensitive Groups,93.2,175,30.7,12.7,2.16,52.1,22.5,51.5,5,210,65,472,4,761,0,,
2966,12/02/2025,3,101.4,Unhealthy for Sensitive Groups,65.9,104.9,16.5,4.5,2.44,44.1,18,38.1,8.6,61,18,137,1,216,0,,
737,06/01/2025,1,348.6,Hazardous,215.4,368.6,60.8,30.7,7.59,55.4,14.9,31.5,3,321,99,718,6,1144,1,,
